Date,Close,Open,High,Low,Volume,ChangePercent,Ticker,Return,Average,Volatility,LogReturn
2024-01-02,12250.0,12250.0,12450.0,11400.0,543600,0.0,HVN,0.0,11925.0,1050.0,0.0
2024-01-03,13100.0,12500.0,13100.0,12250.0,2930000,6.94,HVN,4.8,12675.0,850.0,0.046883585898850555
2024-01-04,13050.0,13100.0,13500.0,12950.0,1570000,-0.38,HVN,-0.38167938931297707,13225.0,550.0,-0.003824096438403757
2024-01-05,12750.0,13050.0,13350.0,12700.0,874800,-2.3,HVN,-2.2988505747126435,13025.0,650.0,-0.023256862164267034
2024-01-08,12550.0,12750.0,12800.0,12500.0,708000,-1.57,HVN,-1.5686274509803921,12650.0,300.0,-0.015810606026642304
2024-01-09,12550.0,12550.0,12650.0,12400.0,428300,0.0,HVN,0.0,12525.0,250.0,0.0
2024-01-10,12500.0,12550.0,12650.0,12400.0,468400,-0.4,HVN,-0.398406374501992,12525.0,250.0,-0.00399202126953746
2024-01-11,12650.0,12500.0,12750.0,12500.0,389700,1.2,HVN,1.2,12625.0,250.0,0.011928570865274324
2024-01-12,12500.0,11800.0,12650.0,11800.0,579700,-1.19,HVN,5.932203389830509,12225.0,850.0,0.05762911283663641
2024-01-15,12400.0,12400.0,12500.0,12300.0,312900,-0.8,HVN,0.0,12400.0,200.0,0.0
2024-01-16,12500.0,12400.0,12500.0,12300.0,215800,0.81,HVN,0.8064516129032258,12400.0,200.0,0.008032171697264445
2024-01-17,12500.0,12400.0,12600.0,12400.0,248800,0.0,HVN,0.8064516129032258,12500.0,200.0,0.008032171697264445
2024-01-18,12400.0,12500.0,12500.0,12400.0,285100,-0.8,HVN,-0.8,12450.0,100.0,-0.008032171697264445
2024-01-19,12550.0,12500.0,12700.0,12500.0,429200,1.21,HVN,0.4,12600.0,200.0,0.00399202126953746
2024-01-22,12550.0,12500.0,12700.0,12500.0,391600,0.0,HVN,0.4,12600.0,200.0,0.00399202126953746
2024-01-23,12450.0,12550.0,12600.0,12450.0,392800,-0.8,HVN,-0.796812749003984,12525.0,150.0,-0.008000042667076102
2024-01-24,12400.0,12450.0,12550.0,12400.0,400900,-0.4,HVN,-0.4016064257028112,12475.0,150.0,-0.004024150299725804
2024-01-25,12400.0,12400.0,12500.0,12300.0,225100,0.0,HVN,0.0,12400.0,200.0,0.0
2024-01-26,12550.0,12400.0,12550.0,12400.0,274600,1.21,HVN,1.2096774193548387,12475.0,150.0,0.012024192966801905
2024-01-29,12450.0,12550.0,12550.0,12400.0,405400,-0.8,HVN,-0.796812749003984,12475.0,150.0,-0.008000042667076102
2024-01-30,12550.0,12450.0,12600.0,12350.0,534300,0.8,HVN,0.8032128514056224,12475.0,250.0,0.008000042667076102
2024-01-31,12500.0,12550.0,12600.0,12450.0,368400,-0.4,HVN,-0.398406374501992,12525.0,150.0,-0.00399202126953746
2024-02-01,12450.0,12500.0,12550.0,12350.0,387000,-0.4,HVN,-0.4,12450.0,200.0,-0.004008021397538641
2024-02-02,12300.0,12450.0,12550.0,12250.0,714300,-1.2,HVN,-1.2048192771084338,12400.0,300.0,-0.012121360532345804
2024-02-05,12300.0,12100.0,12400.0,12100.0,459400,0.0,HVN,1.6528925619834711,12250.0,300.0,0.01639380977567484
2024-02-06,12600.0,12300.0,12600.0,12300.0,487900,2.44,HVN,2.4390243902439024,12450.0,300.0,0.024097551579060905
2024-02-07,12500.0,12600.0,12650.0,12500.0,295400,-0.79,HVN,-0.7936507936507936,12575.0,150.0,-0.00796816964917646
2024-02-15,12550.0,12500.0,13000.0,12500.0,488200,0.4,HVN,0.4,12750.0,500.0,0.00399202126953746
2024-02-16,12850.0,12650.0,13000.0,12650.0,819000,2.39,HVN,1.5810276679841897,12825.0,350.0,0.015686596167698852
2024-02-19,12850.0,12900.0,13000.0,12500.0,962800,0.0,HVN,-0.3875968992248062,12750.0,500.0,-0.0038835000263972574
2024-02-20,12750.0,12850.0,12950.0,12750.0,640100,-0.78,HVN,-0.7782101167315175,12850.0,200.0,-0.007812539736793411
2024-02-21,12700.0,12750.0,12850.0,12650.0,782600,-0.39,HVN,-0.39215686274509803,12750.0,200.0,-0.003929278139889192
2024-02-22,12650.0,12700.0,12700.0,12600.0,400100,-0.39,HVN,-0.39370078740157477,12650.0,100.0,-0.003944778291016249
2024-02-23,12550.0,12650.0,12750.0,12500.0,469600,-0.79,HVN,-0.7905138339920948,12625.0,250.0,-0.007936549595736864
2024-02-26,12800.0,12550.0,12850.0,12500.0,627300,1.99,HVN,1.9920318725099602,12675.0,350.0,0.01972450534777792
2024-02-27,12700.0,12800.0,12850.0,11950.0,293900,-0.78,HVN,-0.78125,12400.0,900.0,-0.007843177461024808
2024-02-28,12650.0,12900.0,12900.0,12650.0,494700,-0.39,HVN,-1.937984496124031,12775.0,250.0,-0.01957009619409611
2024-02-29,12650.0,12650.0,12750.0,12600.0,733500,0.0,HVN,0.0,12675.0,150.0,0.0
2024-03-01,12750.0,12700.0,12900.0,12700.0,458700,0.79,HVN,0.39370078740157477,12800.0,200.0,0.003929278139889192
2024-03-04,13600.0,12750.0,13600.0,12750.0,3790000,6.67,HVN,6.666666666666667,13175.0,850.0,0.06453852113757108
2024-03-05,13600.0,13650.0,13800.0,13400.0,1360000,0.0,HVN,-0.3663003663003663,13600.0,400.0,-0.0036697288889619983
